accession,message,sample_name,sample_title,bioproject_accession,organism,isolate,geographic_location,collection_date,depth,env_broad_scale,env_local_scale,env_medium,geo_loc_me,isolation_source,lat_lon,chlorophyll,collection_method,conduc,diss_oxygen,nitrate,nitrite,ph,samp_collect_device,samp_store_temp,silicate,size_frac,soluble_react_phosp,source_material_id,sulfate,sulfide,suspend_part_matter,temp,tidal_stage,tot_depth_water_col,tot_diss_nitro,tot_nitro,tot_phosp,turbidity,water_current,description,completeness(%),contamition_(%),strain_heterogeneity_(%),size_(mbp),no._of_contigs,gc_content_(%),n50,file,derived_from
SAMN41711301,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,99.22,5.89,87.5,5.543127,1929,36.7,12877,samp_4307_VAMB_554,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711302,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022_1,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,99.22,9.22,68.25,6.276839,3036,37.1,10306,samp_4307_VAMB_963,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711303,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022_2,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,99,3.07,83.33,5.110563,820,37.1,14872,samp_4307_concoct_266,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711304,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022_3,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,97.44,1.41,75,4.285282,388,36.9,17811,samp_4307_metabat2_71,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711305,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022_4,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,96.88,1.41,75,4.067603,312,37,18584,samp_4307_metadecoder_439,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711306,Successfully loaded,Dolichospermum sp._LV_1_7. Asembo Bay_2022_5,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,97.44,1.52,77.78,4.304576,379,37.1,17661,samp_4307_semibin_116,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711307,Successfully loaded,Dolichospermum sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,99,4.26,79.31,5.339871,1602,36.8,14275,samp_4308_VAMB_457,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711308,Successfully loaded,Dolichospermum sp._LV_2_7. Asembo Bay_2022_1,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,99,2.41,60,5.156008,847,37.1,15608,samp_4308_concoct_206,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711309,Successfully loaded,Dolichospermum sp._LV_2_7. Asembo Bay_2022_2,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,97.11,0.85,57.14,4.247285,369,36.9,18252,samp_4308_metabat2_50,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711310,Successfully loaded,Dolichospermum sp._LV_2_7. Asembo Bay_2022_3,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,96.22,0.3,0,4.060708,299,37,18607,samp_4308_metadecoder_368,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
