start,end,file,record_id,region,product,KCB_hit,new_header
0,10053,samp_4332_semibin_254,contig_3,1,terpene,NA,samp_4332_semibin_254_contig_3_terpene
0,12161,samp_4332_semibin_254,contig_70,1,terpene,NA,samp_4332_semibin_254_contig_70_terpene
0,7411,samp_4321_maxbin_137,contig_1,1,cyanobactin,anacyclamide A10,samp_4321_maxbin_137_contig_1_cyanobactin
0,13431,samp_4321_maxbin_137,contig_145,1,NRPS-like,NA,samp_4321_maxbin_137_contig_145_NRPS-like
0,20507,samp_4321_maxbin_137,contig_176,1,lanthipeptide-class-v,hassallidin C,samp_4321_maxbin_137_contig_176_lanthipeptide-class-v
2186,23119,samp_4321_maxbin_137,contig_210,1,terpene,NA,samp_4321_maxbin_137_contig_210_terpene
0,33306,samp_4321_maxbin_137,contig_243,1,NRPS-like,NA,samp_4321_maxbin_137_contig_243_NRPS-like
0,25196,samp_4321_maxbin_137,contig_250,1,hglE-KS,heterocyst glycolipids,samp_4321_maxbin_137_contig_250_hglE-KS
6041,26872,samp_4321_maxbin_137,contig_261,1,terpene,NA,samp_4321_maxbin_137_contig_261_terpene
0,38444,samp_4321_maxbin_137,contig_262,1,hglE-KS / T1PKS,heterocyst glycolipids,samp_4321_maxbin_137_contig_262_hglE-KS / T1PKS
0,13694,samp_4321_maxbin_137,contig_270,1,terpene,NA,samp_4321_maxbin_137_contig_270_terpene
17889,29062,samp_4332_VAMB_1153,contig_44,1,terpene,NA,samp_4332_VAMB_1153_contig_44_terpene
0,17781,samp_4332_VAMB_1153,contig_99,1,terpene,NA,samp_4332_VAMB_1153_contig_99_terpene
0,76738,samp_4319_VAMB_955,contig_178,1,NRPS / T1PKS / NRPS-like,microcystin LR,samp_4319_VAMB_955_contig_178_NRPS / T1PKS / NRPS-like
83254,100718,samp_4319_VAMB_955,contig_178,2,terpene,NA,samp_4319_VAMB_955_contig_178_terpene
1504,18608,samp_4319_VAMB_955,contig_191,1,lassopeptide,NA,samp_4319_VAMB_955_contig_191_lassopeptide
0,16816,samp_4319_VAMB_955,contig_226,1,NRPS-like / T1PKS,desmamide A/desmamide B/desmamide C,samp_4319_VAMB_955_contig_226_NRPS-like / T1PKS
0,21391,samp_4319_VAMB_955,contig_274,1,PUFA / hglE-KS,NA,samp_4319_VAMB_955_contig_274_PUFA / hglE-KS
0,6054,samp_4319_VAMB_955,contig_362,1,cyanobactin,NA,samp_4319_VAMB_955_contig_362_cyanobactin
0,26315,samp_4319_VAMB_955,contig_371,1,NRPS / microviridin,anachelin,samp_4319_VAMB_955_contig_371_NRPS / microviridin
0,39126,samp_4319_VAMB_955,contig_421,1,NRPS / NRPS-like,aeruginosin 98-A/aeruginosin 98-B/aeruginosin 98-C,samp_4319_VAMB_955_contig_421_NRPS / NRPS-like
0,11735,samp_4319_VAMB_955,contig_444,1,terpene,NA,samp_4319_VAMB_955_contig_444_terpene
0,24288,samp_4319_VAMB_955,contig_507,1,T1PKS,aeruginoside 126B/aeruginoside 126A,samp_4319_VAMB_955_contig_507_T1PKS
0,9278,samp_4319_VAMB_955,contig_514,1,LAP,NA,samp_4319_VAMB_955_contig_514_LAP
0,7033,samp_4319_VAMB_955,contig_639,1,spliceotide,NA,samp_4319_VAMB_955_contig_639_spliceotide
0,12431,samp_4319_VAMB_955,contig_816,1,terpene,NA,samp_4319_VAMB_955_contig_816_terpene
0,36988,samp_4319_VAMB_955,contig_842,1,T1PKS / T3PKS / NRPS-like,merocyclophane C/merocyclophane D,samp_4319_VAMB_955_contig_842_T1PKS / T3PKS / NRPS-like
0,13697,samp_4319_VAMB_955,contig_876,1,cyanobactin,piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4,samp_4319_VAMB_955_contig_876_cyanobactin
0,24643,samp_4441_maxbin_669,contig_8,1,NRPS-like,12-epi-hapalindole J isonitrile/ambiguine A isonitrile/ambiguine B isonitrile/ambiguine C isonitrile/ambiguine D isonitrile/ambiguine E isonitrile/ambiguine K isonitrile/ambiguine L isonitrile/ambiguine I isonitrile/ambiguine J isonitrile,samp_4441_maxbin_669_contig_8_NRPS-like
0,12653,samp_4441_maxbin_669,contig_10,1,cyanobactin,anacyclamide A10,samp_4441_maxbin_669_contig_10_cyanobactin
0,30795,samp_4441_maxbin_669,contig_29,1,hglE-KS,heterocyst glycolipids,samp_4441_maxbin_669_contig_29_hglE-KS
0,36947,samp_4441_maxbin_669,contig_80,1,NRPS,varlaxin 1046A/varlaxin 1022A,samp_4441_maxbin_669_contig_80_NRPS
3923,48175,samp_4441_maxbin_669,contig_134,1,NRPS-like,NA,samp_4441_maxbin_669_contig_134_NRPS-like
4617,25550,samp_4441_maxbin_669,contig_159,1,terpene,NA,samp_4441_maxbin_669_contig_159_terpene
0,10332,samp_4441_maxbin_669,contig_162,1,NRPS-like,NA,samp_4441_maxbin_669_contig_162_NRPS-like
4514,24689,samp_4441_maxbin_669,contig_172,1,terpene,NA,samp_4441_maxbin_669_contig_172_terpene
0,7513,samp_4441_maxbin_669,contig_178,1,T1PKS,NA,samp_4441_maxbin_669_contig_178_T1PKS
15735,29840,samp_4441_maxbin_669,contig_191,1,RRE-containing,NA,samp_4441_maxbin_669_contig_191_RRE-containing
0,35286,samp_4441_maxbin_669,contig_193,1,lanthipeptide-class-v,hassallidin C,samp_4441_maxbin_669_contig_193_lanthipeptide-class-v
0,34754,samp_4441_maxbin_669,contig_268,1,hglE-KS / T1PKS,heterocyst glycolipids,samp_4441_maxbin_669_contig_268_hglE-KS / T1PKS
871,12951,samp_4441_maxbin_669,contig_275,1,cyanobactin,NA,samp_4441_maxbin_669_contig_275_cyanobactin
0,18195,samp_4441_maxbin_669,contig_300,1,terpene,NA,samp_4441_maxbin_669_contig_300_terpene
0,7437,samp_4311_metadecoder_616,contig_51,1,terpene,NA,samp_4311_metadecoder_616_contig_51_terpene
0,9747,samp_4311_metadecoder_616,contig_174,1,terpene,NA,samp_4311_metadecoder_616_contig_174_terpene
0,5589,samp_4445_semibin_342,contig_154,1,terpene,NA,samp_4445_semibin_342_contig_154_terpene
0,20971,samp_4445_semibin_342,contig_168,1,terpene,NA,samp_4445_semibin_342_contig_168_terpene
0,16134,samp_4445_semibin_342,contig_369,1,T1PKS / NRPS-like,puwainaphycin F/minutissamide A,samp_4445_semibin_342_contig_369_T1PKS / NRPS-like
0,9906,samp_4444_VAMB_1057,contig_103,1,terpene,NA,samp_4444_VAMB_1057_contig_103_terpene
0,12108,samp_4444_VAMB_1057,contig_138,1,terpene,NA,samp_4444_VAMB_1057_contig_138_terpene
0,11683,samp_4443_metabat2_120,contig_75,1,terpene,NA,samp_4443_metabat2_120_contig_75_terpene
0,14553,samp_4443_metabat2_120,contig_110,1,terpene,NA,samp_4443_metabat2_120_contig_110_terpene
0,11683,samp_4443_semibin_400,contig_61,1,terpene,NA,samp_4443_semibin_400_contig_61_terpene
0,14553,samp_4443_semibin_400,contig_91,1,terpene,NA,samp_4443_semibin_400_contig_91_terpene
0,9349,samp_4443_semibin_400,contig_169,1,terpene,NA,samp_4443_semibin_400_contig_169_terpene
0,20735,samp_4434_VAMB_405,contig_491,1,hglE-KS,heterocyst glycolipids,samp_4434_VAMB_405_contig_491_hglE-KS
0,20524,samp_4434_VAMB_405,contig_661,1,terpene,NA,samp_4434_VAMB_405_contig_661_terpene
279,22190,samp_4434_VAMB_405,contig_868,1,terpene,NA,samp_4434_VAMB_405_contig_868_terpene
8507,51246,samp_4434_VAMB_405,contig_1043,1,NRPS-like,NA,samp_4434_VAMB_405_contig_1043_NRPS-like
0,5176,samp_4434_VAMB_405,contig_1049,1,cyanobactin,anacyclamide A10,samp_4434_VAMB_405_contig_1049_cyanobactin
2099,28119,samp_4434_VAMB_405,contig_1459,1,T1PKS,dynemicin A,samp_4434_VAMB_405_contig_1459_T1PKS
0,29321,samp_4434_VAMB_405,contig_1469,1,lanthipeptide-class-v,hassallidin C,samp_4434_VAMB_405_contig_1469_lanthipeptide-class-v
0,11969,samp_4434_VAMB_405,contig_1902,1,cyanobactin,anacyclamide A10,samp_4434_VAMB_405_contig_1902_cyanobactin
0,6846,samp_4434_VAMB_405,contig_2003,1,RRE-containing,NA,samp_4434_VAMB_405_contig_2003_RRE-containing
0,39740,samp_4434_VAMB_405,contig_2095,1,hglE-KS / T1PKS,heterocyst glycolipids,samp_4434_VAMB_405_contig_2095_hglE-KS / T1PKS
0,41092,samp_4434_VAMB_405,contig_2570,1,NRPS-like,NA,samp_4434_VAMB_405_contig_2570_NRPS-like
21573,34134,samp_4434_VAMB_405,contig_2624,1,cyanobactin,NA,samp_4434_VAMB_405_contig_2624_cyanobactin
2522,15456,samp_4434_VAMB_405,contig_2705,1,terpene,NA,samp_4434_VAMB_405_contig_2705_terpene
0,6822,samp_4445_concoct_1447,contig_111,1,terpene,NA,samp_4445_concoct_1447_contig_111_terpene
0,7391,samp_4445_concoct_1447,contig_277,1,terpene,NA,samp_4445_concoct_1447_contig_277_terpene
0,9479,samp_4445_concoct_1447,contig_373,1,NRPS-like,NA,samp_4445_concoct_1447_contig_373_NRPS-like
0,7502,samp_4445_concoct_1447,contig_530,1,arylpolyene,NA,samp_4445_concoct_1447_contig_530_arylpolyene
0,37889,samp_4446_metadecoder_636,contig_86,1,NRPS-like,NA,samp_4446_metadecoder_636_contig_86_NRPS-like
0,11599,samp_4446_metadecoder_636,contig_120,1,NRPS-like,NA,samp_4446_metadecoder_636_contig_120_NRPS-like
0,32273,samp_4446_metadecoder_636,contig_129,1,hglE-KS,heterocyst glycolipids,samp_4446_metadecoder_636_contig_129_hglE-KS
0,26560,samp_4446_metadecoder_636,contig_132,1,lanthipeptide-class-v,hassallidin C,samp_4446_metadecoder_636_contig_132_lanthipeptide-class-v
0,31332,samp_4446_metadecoder_636,contig_186,1,hglE-KS / T1PKS,heterocyst glycolipids,samp_4446_metadecoder_636_contig_186_hglE-KS / T1PKS
3513,16115,samp_4446_metadecoder_636,contig_230,1,RRE-containing,NA,samp_4446_metadecoder_636_contig_230_RRE-containing
1594,13651,samp_4446_metadecoder_636,contig_231,1,terpene,NA,samp_4446_metadecoder_636_contig_231_terpene
0,13092,samp_4446_metadecoder_636,contig_262,1,cyanobactin,anacyclamide A10,samp_4446_metadecoder_636_contig_262_cyanobactin
0,16797,samp_4446_metadecoder_636,contig_333,1,terpene,NA,samp_4446_metadecoder_636_contig_333_terpene
0,12069,samp_4446_metadecoder_636,contig_347,1,terpene,NA,samp_4446_metadecoder_636_contig_347_terpene
4435,23900,samp_4312_concoct_454,contig_56,1,terpene,NA,samp_4312_concoct_454_contig_56_terpene
0,35195,samp_4312_concoct_454,contig_57,1,hglE-KS,heterocyst glycolipids,samp_4312_concoct_454_contig_57_hglE-KS
0,14279,samp_4312_concoct_454,contig_70,1,cyanobactin,anacyclamide A10,samp_4312_concoct_454_contig_70_cyanobactin
0,25452,samp_4312_concoct_454,contig_134,1,hglE-KS,ambiguine P,samp_4312_concoct_454_contig_134_hglE-KS
0,30035,samp_4312_concoct_454,contig_171,1,NRPS-like,12-epi-hapalindole J isonitrile/ambiguine A isonitrile/ambiguine B isonitrile/ambiguine C isonitrile/ambiguine D isonitrile/ambiguine E isonitrile/ambiguine K isonitrile/ambiguine L isonitrile/ambiguine I isonitrile/ambiguine J isonitrile,samp_4312_concoct_454_contig_171_NRPS-like
0,38009,samp_4312_concoct_454,contig_249,1,NRPS-like,NA,samp_4312_concoct_454_contig_249_NRPS-like
0,6643,samp_4312_concoct_454,contig_315,1,cyanobactin,anacyclamide A10,samp_4312_concoct_454_contig_315_cyanobactin
0,31493,samp_4312_concoct_454,contig_423,1,lanthipeptide-class-v,hassallidin C,samp_4312_concoct_454_contig_423_lanthipeptide-class-v
0,23308,samp_4312_concoct_454,contig_425,1,NRPS,varlaxin 1046A/varlaxin 1022A,samp_4312_concoct_454_contig_425_NRPS
0,36347,samp_4312_concoct_454,contig_497,1,NRPS-like,NA,samp_4312_concoct_454_contig_497_NRPS-like
0,12975,samp_4312_concoct_454,contig_514,1,T1PKS,NA,samp_4312_concoct_454_contig_514_T1PKS
0,26905,samp_4312_concoct_454,contig_575,1,T1PKS / hglE-KS,heterocyst glycolipids,samp_4312_concoct_454_contig_575_T1PKS / hglE-KS
2991,23924,samp_4312_concoct_454,contig_623,1,terpene,NA,samp_4312_concoct_454_contig_623_terpene
20216,39918,samp_4312_concoct_454,contig_624,1,terpene,NA,samp_4312_concoct_454_contig_624_terpene
0,8341,samp_4446_VAMB_97,contig_68,1,ectoine,NA,samp_4446_VAMB_97_contig_68_ectoine
0,16797,samp_4446_VAMB_97,contig_95,1,terpene,NA,samp_4446_VAMB_97_contig_95_terpene
0,16387,samp_4446_VAMB_97,contig_183,1,NRPS,aeruginosin 98-A/aeruginosin 98-B/aeruginosin 98-C,samp_4446_VAMB_97_contig_183_NRPS
0,15103,samp_4446_VAMB_97,contig_192,1,cyanobactin / terpene,anacyclamide A10,samp_4446_VAMB_97_contig_192_cyanobactin / terpene
0,11599,samp_4446_VAMB_97,contig_347,1,NRPS-like,NA,samp_4446_VAMB_97_contig_347_NRPS-like
1594,13651,samp_4446_VAMB_97,contig_394,1,terpene,NA,samp_4446_VAMB_97_contig_394_terpene
0,31332,samp_4446_VAMB_97,contig_415,1,hglE-KS / T1PKS,heterocyst glycolipids,samp_4446_VAMB_97_contig_415_hglE-KS / T1PKS
0,32273,samp_4446_VAMB_97,contig_561,1,hglE-KS,heterocyst glycolipids,samp_4446_VAMB_97_contig_561_hglE-KS
3513,16115,samp_4446_VAMB_97,contig_684,1,RRE-containing,NA,samp_4446_VAMB_97_contig_684_RRE-containing
0,12069,samp_4446_VAMB_97,contig_742,1,terpene,NA,samp_4446_VAMB_97_contig_742_terpene
0,26560,samp_4446_VAMB_97,contig_777,1,lanthipeptide-class-v,hassallidin C,samp_4446_VAMB_97_contig_777_lanthipeptide-class-v
0,37889,samp_4446_VAMB_97,contig_819,1,NRPS-like,NA,samp_4446_VAMB_97_contig_819_NRPS-like
0,10112,samp_4446_VAMB_97,contig_859,1,NRPS-like,NA,samp_4446_VAMB_97_contig_859_NRPS-like
0,13092,samp_4446_VAMB_97,contig_939,1,cyanobactin,anacyclamide A10,samp_4446_VAMB_97_contig_939_cyanobactin
10724,41252,samp_4319_maxbin_413,contig_11,1,NRPS-like,NA,samp_4319_maxbin_413_contig_11_NRPS-like
0,26425,samp_4319_maxbin_413,contig_49,1,lanthipeptide-class-v,hassallidin C,samp_4319_maxbin_413_contig_49_lanthipeptide-class-v
26300,75594,samp_4319_maxbin_413,contig_65,1,T1PKS / hglE-KS,heterocyst glycolipids,samp_4319_maxbin_413_contig_65_T1PKS / hglE-KS
8494,29427,samp_4319_maxbin_413,contig_81,1,terpene,NA,samp_4319_maxbin_413_contig_81_terpene
0,36055,samp_4319_maxbin_413,contig_127,1,NRPS-like,NA,samp_4319_maxbin_413_contig_127_NRPS-like
0,23048,samp_4319_maxbin_413,contig_134,1,NRPS,varlaxin 1046A/varlaxin 1022A,samp_4319_maxbin_413_contig_134_NRPS
0,9907,samp_4319_maxbin_413,contig_136,1,RRE-containing,NA,samp_4319_maxbin_413_contig_136_RRE-containing
0,7513,samp_4319_maxbin_413,contig_144,1,T1PKS,NA,samp_4319_maxbin_413_contig_144_T1PKS
0,9298,samp_4319_maxbin_413,contig_190,1,terpene,NA,samp_4319_maxbin_413_contig_190_terpene
6265,40416,samp_4319_maxbin_413,contig_236,1,hglE-KS,heterocyst glycolipids,samp_4319_maxbin_413_contig_236_hglE-KS
0,12311,samp_4319_maxbin_413,contig_252,1,cyanobactin,NA,samp_4319_maxbin_413_contig_252_cyanobactin
4614,20488,samp_4319_maxbin_413,contig_334,1,terpene,NA,samp_4319_maxbin_413_contig_334_terpene
17826,38750,samp_4445_metabat2_36,contig_20,1,terpene,NA,samp_4445_metabat2_36_contig_20_terpene
13751,35038,samp_4445_metabat2_36,contig_61,1,terpene,NA,samp_4445_metabat2_36_contig_61_terpene
0,5135,samp_4448_metabat2_45,contig_171,1,terpene,NA,samp_4448_metabat2_45_contig_171_terpene
0,15834,samp_4448_metabat2_45,contig_247,1,terpene,NA,samp_4448_metabat2_45_contig_247_terpene
0,16730,samp_4445_VAMB_1115,contig_244,1,terpene,NA,samp_4445_VAMB_1115_contig_244_terpene
0,10312,samp_4324_maxbin_57,contig_17,1,T1PKS,desmamide A/desmamide B/desmamide C,samp_4324_maxbin_57_contig_17_T1PKS
