"","MAG","SampleID","Site","Domain_GTDB","Phylum_GTDB","Class_GTDB","Order_GTDB","Family_GTDB","Genus_GTDB","Species_GTDB","Completeness....","Contamination....","Strain.Heterogeneity....","Size..Mbp.","No..Of.Contigs","GC.Content....","N50","NCBI_Sample_Name","Domain_NCBI","Phylum_NCBI","Class_NCBI","Order_NCBI","Family_NCBI","Genus_NCBI","Species_NCBI","NCBI_Organism","BioProject","accession","year"
"1","samp_4307_concoct_238","samp_4307","7. Asembo Bay","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","Limnocylindraceae","Limnocylindrus","",82.87,13.05,78.26,1.214587,514,62.7,2700,"Limnocylindrus sp._LV_1_7. Asembo Bay_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711505",2022
"2","samp_4307_concoct_256","samp_4307","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",76.09,23.6,94.74,2.066197,914,49.9,2591,"BACL27 sp._LV_1_7. Asembo Bay_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711506",2022
"3","samp_4307_concoct_257","samp_4307","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",78.17,3.99,14.29,1.71615,633,67.2,3119,"UBA2093 sp._LV_1_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711507",2022
"4","samp_4307_concoct_272","samp_4307","7. Asembo Bay","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","UBA1268","","",84.38,16.03,66.67,3.88081,1494,69.1,3065,"UBA1268 bacterium_LV_1_7. Asembo Bay_2022","Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA,NA,"Planctomycetia bacterium","PRJNA1119566","SAMN41711508",2022
"5","samp_4307_concoct_278","samp_4307","7. Asembo Bay","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",78.9,2.04,100,2.418559,787,72.3,4304,"UBA966 sp._LV_1_7. Asembo Bay_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711509",2022
"6","samp_4307_concoct_325","samp_4307","7. Asembo Bay","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","Methylocystis sp002412985",87.23,4.78,68.18,2.116138,731,48.7,3412,"Methylocystis sp002412985_LV_1_7. Asembo Bay_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae",NA,NA,"Methylocystaceae bacterium","PRJNA1119566","SAMN41711510",2022
"7","samp_4307_concoct_340","samp_4307","7. Asembo Bay","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis",86.04,8.46,71.11,1.45358,567,43.5,3011,"Polynucleobacter victoriensis_LV_1_7. Asembo Bay_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis","Polynucleobacter victoriensis","PRJNA1119566","SAMN41711511",2022
"8","samp_4307_metabat2_34","samp_4307","7. Asembo Bay","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","UBA953","UBA953","",76.5,3.39,33.33,1.907507,390,68.3,5849,"UBA953 sp._LV_1_7. Asembo Bay_2022","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA,"Verrucomicrobiota bacterium","PRJNA1119566","SAMN41711512",2022
"9","samp_4307_metabat2_85","samp_4307","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA3006","",76.53,5.24,33.33,1.112442,331,63.1,3438,"UBA3006 sp._LV_1_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711513",2022
"10","samp_4307_metadecoder_485","samp_4307","7. Asembo Bay","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","",78.91,3.62,75,1.316075,204,71.3,7415,"F1-60-MAGs163 sp._LV_1_7. Asembo Bay_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711514",2022
"11","samp_4307_VAMB_559","samp_4307","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","BACL27 sp016870935",79.69,6.46,38.46,1.525001,1251,58.6,1582,"BACL27 sp016870935_LV_1_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711515",2022
"12","samp_4308_concoct_165","samp_4308","7. Asembo Bay","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","Methylocystis sp002412985",98.25,14.67,71.43,2.303376,832,48.2,3400,"Methylocystis sp002412985_LV_2_7. Asembo Bay_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae",NA,NA,"Methylocystaceae bacterium","PRJNA1119566","SAMN41711516",2022
"13","samp_4308_concoct_171","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","",85.25,5.56,63.64,1.841471,697,71.1,3102,"F1-60-MAGs163 sp._LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711517",2022
"14","samp_4308_concoct_179","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",81.28,23.19,86.84,2.062135,852,50,2736,"BACL27 sp._LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711518",2022
"15","samp_4308_concoct_231","samp_4308","7. Asembo Bay","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","UBA953","UBA953","",76.1,12.86,30,2.058972,1030,68.5,2152,"UBA953 sp._LV_2_7. Asembo Bay_2022","Bacteria","Verrucomicrobiota",NA,NA,NA,NA,NA,"Verrucomicrobiota bacterium","PRJNA1119566","SAMN41711519",2022
"16","samp_4308_concoct_266","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","F1-60-MAGs149","F1-60-MAGs149","F1-60-MAGs149 sp016870485",75.32,2.46,42.86,1.910159,800,74.3,2718,"F1-60-MAGs149 sp016870485_LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711520",2022
"17","samp_4308_concoct_271","samp_4308","7. Asembo Bay","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",86.15,14.89,37.5,2.198382,769,68.4,3643,"UBA2093 sp._LV_2_7. Asembo Bay_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711521",2022
"18","samp_4308_concoct_276","samp_4308","7. Asembo Bay","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",79.62,3.51,33.33,2.238335,1080,72.3,2225,"UBA966 sp._LV_2_7. Asembo Bay_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711522",2022
"19","samp_4308_concoct_282","samp_4308","7. Asembo Bay","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","Limnocylindraceae","Limnocylindrus","",77.63,7.36,83.33,1.130483,466,62.7,2793,"Limnocylindrus sp._LV_2_7. Asembo Bay_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711523",2022
"20","samp_4308_concoct_296","samp_4308","7. Asembo Bay","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis",83.33,10.59,68.85,1.334348,433,43.4,3532,"Polynucleobacter victoriensis_LV_2_7. Asembo Bay_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis","Polynucleobacter victoriensis","PRJNA1119566","SAMN41711524",2022
