BGC Locus,BGC Definition,Start,End,Length,Product,Locus Tag,Note,Gene Functions,Description,Gene Ontologies,Gene Kind
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,35,146,111,,ctg1_1,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,105,228,123,,ctg1_2,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,224,746,522,,ctg1_3,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,835,2212,1377,,ctg1_4,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,2161,2320,159,,ctg1_5,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,2791,3058,267,,ctg1_6,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,3299,4847,1548,,ctg1_7,,other (smcogs) SMCOG1213:transposase (Score: 185.8; E-value: 1.7e-56),,,other
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,4865,5621,756,,ctg1_8,,other (smcogs) SMCOG1151:transposase (Score: 243.7; E-value: 2.5e-74),,,other
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,5738,5948,210,,ctg1_9,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,6038,6401,363,,ctg1_10,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,6424,7441,1017,,ctg1_11,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,7566,7794,228,,ctg1_12,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,7807,7996,189,,ctg1_13,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,8031,9492,1461,,ctg1_14,,transport (smcogs) SMCOG1029:RND family efflux transporter MFP subunit (Score: 166.1; E-value: 1.8e-50),,,transport
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,9578,10724,1146,,ctg1_15,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,10798,11122,324,,ctg1_16,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 59.5; E-value: 6.9e-18),,,transport
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,11033,11312,279,,ctg1_17,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,11308,11491,183,,ctg1_18,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,11536,11695,159,,ctg1_19,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,11709,12837,1128,,ctg1_20,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,12997,13153,156,,ctg1_21,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,13115,13595,480,,ctg1_22,,other (smcogs) SMCOG1097:transposase (Score: 86.6; E-value: 3e-26),,,other
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,13623,14115,492,,ctg1_23,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 138.5; E-value: 5e-42),,,transport
