"","MAG","sample_name","sample_title","sample_name_ncbi_full","Site.x","Sample","Completeness","Conatmination","Strain_het","Size","Contigs","GC","N50","seqid","Site.y","bioproject_accession","SRA_accession","year","collection_date","depth","X.env_broad_scale","X.env_local_scale","X.env_medium","X.geo_loc_name","X.lat_lon","alkalinity","alkalinity_method","alkyl_diethers","altitude","aminopept_act","ammonium","atmospheric_data","bac_prod","bac_resp","bacteria_carb_prod","biomass","bishomohopanol","bromide","calcium","carb_nitro_ratio","chem_administration","chloride","chlorophyll","collection_method","conduc","density","diether_lipids","diss_carb_dioxide","diss_hydrogen","diss_inorg_carb","diss_inorg_nitro","diss_inorg_phosp","diss_org_carb","diss_org_nitro","diss_oxygen","down_par","elev","fluor","glucosidase_act","isolation_source","light_intensity","magnesium","mean_frict_vel","mean_peak_frict_vel","misc_param","n_alkanes","neg_cont_type","nitrate","nitrite","nitro","omics_observ_id","org_carb","org_matter","org_nitro","organism_count","oxy_stat_samp","part_org_carb","part_org_nitro","perturbation","petroleum_hydrocarb","ph","phaeopigments","phosphate","phosplipid_fatt_acid","photon_flux","pos_cont_type","potassium","pressure","primary_prod","redox_potential","ref_biomaterial","rel_to_oxygen","salinity","samp_collect_device","samp_mat_process","samp_size","samp_store_dur","samp_store_loc","samp_store_temp","samp_vol_we_dna_ext","silicate","size_frac","size_frac_low","size_frac_up","sodium","soluble_react_phosp","source_material_id","sulfate","sulfide","suspend_part_matter","temp","tidal_stage","tot_depth_water_col","tot_diss_nitro","tot_inorg_nitro","tot_nitro","tot_part_carb","tot_phosp","turbidity","water_current","description","derived_from","GTDB classification","Domain","Phylum","Class","Order","Family","Genus","Species","sample_name_ncbi"
"1","samp_4307_VAMB_554","Dolichospermum sp._LV_1_7. Asembo Bay_2022","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022","7. Asembo Bay","samp_4307",99.22,5.89,87.5,5.543127,1929,36.7,12877,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"2","samp_4307_VAMB_963","Dolichospermum sp._LV_1_7. Asembo Bay_2022_1","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022_1","7. Asembo Bay","samp_4307",99.22,9.22,68.25,6.276839,3036,37.1,10306,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"3","samp_4307_concoct_266","Dolichospermum sp._LV_1_7. Asembo Bay_2022_2","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022_2","7. Asembo Bay","samp_4307",99,3.07,83.33,5.110563,820,37.1,14872,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"4","samp_4307_metabat2_71","Dolichospermum sp._LV_1_7. Asembo Bay_2022_3","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022_3","7. Asembo Bay","samp_4307",97.44,1.41,75,4.285282,388,36.9,17811,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"5","samp_4307_metadecoder_439","Dolichospermum sp._LV_1_7. Asembo Bay_2022_4","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022_4","7. Asembo Bay","samp_4307",96.88,1.41,75,4.067603,312,37,18584,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"6","samp_4307_semibin_116","Dolichospermum sp._LV_1_7. Asembo Bay_2022_5","LV_1_samp_4307_7. Asembo Bay_2022","Dolichospermum sp._LV_1_7. Asembo Bay_2022_5","7. Asembo Bay","samp_4307",97.44,1.52,77.78,4.304576,379,37.1,17661,"LV_1","7. Asembo Bay","PRJNA1119566","SAMN41659670",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(ug/L)","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5 degree C",NA,"5.4 m ",NA,NA,NA,NA,NA,"10.1 NTU",NA,"Site 16 Nearshore R1","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"7","samp_4308_VAMB_457","Dolichospermum sp._LV_2_7. Asembo Bay_2022","LV_2_samp_4308_7. Asembo Bay_2022","Dolichospermum sp._LV_2_7. Asembo Bay_2022","7. Asembo Bay","samp_4308",99,4.26,79.31,5.339871,1602,36.8,14275,"LV_2","7. Asembo Bay","PRJNA1119566","SAMN41659671",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5degree C",NA,"5.4m ",NA,NA,NA,NA,NA,"10.1NTU",NA,"Site 16 Nearshore R2","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"8","samp_4308_concoct_206","Dolichospermum sp._LV_2_7. Asembo Bay_2022_1","LV_2_samp_4308_7. Asembo Bay_2022","Dolichospermum sp._LV_2_7. Asembo Bay_2022_1","7. Asembo Bay","samp_4308",99,2.41,60,5.156008,847,37.1,15608,"LV_2","7. Asembo Bay","PRJNA1119566","SAMN41659671",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5degree C",NA,"5.4m ",NA,NA,NA,NA,NA,"10.1NTU",NA,"Site 16 Nearshore R2","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"9","samp_4308_metabat2_50","Dolichospermum sp._LV_2_7. Asembo Bay_2022_2","LV_2_samp_4308_7. Asembo Bay_2022","Dolichospermum sp._LV_2_7. Asembo Bay_2022_2","7. Asembo Bay","samp_4308",97.11,0.85,57.14,4.247285,369,36.9,18252,"LV_2","7. Asembo Bay","PRJNA1119566","SAMN41659671",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5degree C",NA,"5.4m ",NA,NA,NA,NA,NA,"10.1NTU",NA,"Site 16 Nearshore R2","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
"10","samp_4308_metadecoder_368","Dolichospermum sp._LV_2_7. Asembo Bay_2022_3","LV_2_samp_4308_7. Asembo Bay_2022","Dolichospermum sp._LV_2_7. Asembo Bay_2022_3","7. Asembo Bay","samp_4308",96.22,0.3,0,4.060708,299,37,18607,"LV_2","7. Asembo Bay","PRJNA1119566","SAMN41659671",2022,"6/25/22","1m","large freshwater lake biome [ENVO:00000891]","Lake [ENVO:00000020]","water [ENVO:00002006]","Lake Victoria","-0.1961_34.38861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","151.07 (ug/L)","Van dorn collection","146.4(uS/cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.61mg/L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.9 (ug/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Van dorn",NA,NA,NA,NA,"-80 degree C",NA,NA,"0.22 micron",NA,NA,NA,"43(ug/L)",NA,NA,NA,NA,"25.5degree C",NA,"5.4m ",NA,NA,NA,NA,NA,"10.1NTU",NA,"Site 16 Nearshore R2","This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum",NA,"Dolichospermum sp."
