start,end,file,record_id,new_header
2738,8005,samp_4313_maxbin_367,contig_143,samp_4313_maxbin_367_1-heptadecene-like_1
18821,43020,samp_4317_concoct_68,contig_312,samp_4317_concoct_68_Aeruginosin-like_1
3300,9211,samp_4435_maxbin_422,contig_111,samp_4435_maxbin_422_Aeruginosin-like_2
1783,26466,samp_4319_VAMB_955,contig_421,samp_4319_VAMB_955_Aeruginosin-like_3
2,11716,samp_4322_metabat2_24,contig_109,samp_4322_metabat2_24_Aeruginosin-like_4
2063,31577,samp_4445_concoct_1415,contig_72,samp_4445_concoct_1415_Anabaenopeptin-like_1
41,6983,samp_4321_maxbin_137,contig_1,samp_4321_maxbin_137_Anacyclamide-like_1
10002,16941,samp_4311_concoct_412,contig_314,samp_4311_concoct_412_Anacyclamide-like_4
2,5627,samp_4447_metabat2_48,contig_296,samp_4447_metabat2_48_Anacyclamide-like_5
6036,14222,samp_4307_semibin_116,contig_228,samp_4307_semibin_116_Anacyclamide-like_6
6036,11975,samp_4322_concoct_184,contig_61,samp_4322_concoct_184_Anacyclamide-like_7
10002,19843,samp_4439_concoct_171,contig_184,samp_4439_concoct_171_Anacyclamide-like_8
31,6029,samp_4445_concoct_1447,contig_530,samp_4445_concoct_1447_Arylprolene_1
2230,6095,samp_4446_VAMB_96,contig_914,samp_4446_VAMB_96_Arylprolene_2
1124,1593,samp_4434_semibin_67,contig_284,samp_4434_semibin_67_Crocagin_1
54,10914,samp_4444_metabat2_185,contig_143,samp_4444_metabat2_185_Crocagin_2
2376,6029,samp_4435_concoct_1904,contig_427,samp_4435_concoct_1904_Cyanobactin_1
2,1582,samp_4435_concoct_1904,contig_665,samp_4435_concoct_1904_Cyanobactin_2
2,2388,samp_4434_VAMB_405,contig_1902,samp_4434_VAMB_405_Cyanobactin_3
238,3520,samp_4446_metadecoder_636,contig_262,samp_4446_metadecoder_636_Cyanobactin_4
197,6688,samp_4319_maxbin_413,contig_252,samp_4319_maxbin_413_Cyanobactin_5
5383,15009,samp_4446_VAMB_97,contig_192,samp_4446_VAMB_97_Cyanobactin-Terpene_1
3,9595,samp_4434_metabat2_58,contig_120,samp_4434_metabat2_58_Cyanopeptolin-like_1
2,11424,samp_4447_concoct_1018,contig_252,samp_4447_concoct_1018_Cyanopeptolin-like_2
3,7932,samp_4434_metabat2_58,contig_530,samp_4434_metabat2_58_Cyanopeptolin-like_3
3,7589,samp_4446_VAMB_97,contig_68,samp_4446_VAMB_97_Ectoine_1
12604,40311,samp_4325_concoct_153,contig_525,samp_4325_concoct_153_Heterocyst Glycolipids_1
6950,23845,samp_4315_VAMB_280,contig_117,samp_4315_VAMB_280_Heterocyst Glycolipids_10
16683,26592,samp_4324_maxbin_53,contig_213,samp_4324_maxbin_53_Heterocyst Glycolipids_11
10938,23244,samp_4317_concoct_68,contig_274,samp_4317_concoct_68_Heterocyst Glycolipids_2
16996,30197,samp_4447_VAMB_472,contig_107,samp_4447_VAMB_472_Heterocyst Glycolipids_3
5888,18194,samp_4441_maxbin_669,contig_29,samp_4441_maxbin_669_Heterocyst Glycolipids_4
3,26463,samp_4446_metadecoder_636,contig_129,samp_4446_metadecoder_636_Heterocyst Glycolipids_5
8159,34594,samp_4312_concoct_454,contig_57,samp_4312_concoct_454_Heterocyst Glycolipids_6
2789,11716,samp_4448_VAMB_839,contig_2366,samp_4448_VAMB_839_Heterocyst Glycolipids_7
3658,20242,samp_4443_semibin_319,contig_514,samp_4443_semibin_319_Heterocyst Glycolipids_8
7964,25219,samp_4324_maxbin_57,contig_260,samp_4324_maxbin_57_Heterocyst Glycolipids_9
3,12147,samp_4443_semibin_480,contig_250,samp_4443_semibin_480_hglE-KS_1
1770,33031,samp_4324_maxbin_53,contig_124,samp_4324_maxbin_53_hglE-KS_2
3431,8572,samp_4449_metabat2_97,contig_255,samp_4449_metabat2_97_hglE-KS_3
5712,20718,samp_4319_VAMB_955,contig_274,samp_4319_VAMB_955_hglE-KS-PUFA_1
95,4232,samp_4319_concoct_522,contig_1241,samp_4319_concoct_522_Lanthipeptide-class-ii_1
7627,10974,samp_4321_concoct_295,contig_693,samp_4321_concoct_295_Lanthipeptide-class-ii_2
9658,13080,samp_4445_metabat2_158,contig_277,samp_4445_metabat2_158_Lanthipeptide-class-ii_3
515,3868,samp_4320_concoct_456,contig_168,samp_4320_concoct_456_Lanthipeptide-class-ii_4
5738,9160,samp_4443_metabat2_135,contig_62,samp_4443_metabat2_135_Lanthipeptide-class-ii_5
265,3561,samp_4443_VAMB_834,contig_1768,samp_4443_VAMB_834_Lanthipeptide-class-ii_6
10002,13184,samp_4445_semibin_421,contig_114,samp_4445_semibin_421_Lanthipeptide-class-ii_7
1400,7429,samp_4447_maxbin_94,contig_103,samp_4447_maxbin_94_Lanthipeptide-class-v_1
7965,10351,samp_4443_semibin_319,contig_215,samp_4443_semibin_319_Lanthipeptide-class-v_10
13345,15775,samp_4443_semibin_319,contig_425,samp_4443_semibin_319_Lanthipeptide-class-v_11
