#BGC Name	Family Number
samp_4313_concoct_735_contig_188_terpene.region001	2505
samp_4319_VAMB_955_contig_178_terpene.region001	2524
samp_4322_metabat2_24_contig_181_terpene.region001	2524
samp_4435_concoct_1904_contig_2065_terpene.region001	2524
samp_4319_VAMB_955_contig_444_terpene.region001	2528
samp_4324_maxbin_57_contig_447_terpene.region001	2528
samp_4321_maxbin_137_contig_210_terpene.region001	2551
samp_4321_maxbin_137_contig_261_terpene.region001	2552
samp_4317_concoct_68_contig_406_terpene.region001	2556
samp_4320_metadecoder_702_contig_50_terpene.region001	2556
samp_4322_concoct_184_contig_278_terpene.region001	2556
samp_4324_maxbin_53_contig_286_terpene.region001	2556
samp_4444_semibin_569_contig_138_terpene.region001	2556
samp_4445_semibin_421_contig_279_terpene.region001	2556
samp_4447_VAMB_472_contig_32_terpene.region001	2556
samp_4320_metadecoder_628_contig_198_terpene.region001	2572
samp_4321_concoct_295_contig_35_terpene.region001	2572
samp_4324_maxbin_57_contig_128_terpene.region001	2572
samp_4318_metabat2_38_contig_498_terpene.region001	2577
samp_4324_maxbin_57_contig_776_terpene.region001	2577
samp_4331_metabat2_120_contig_210_terpene.region001	2585
samp_4332_VAMB_1153_contig_99_terpene.region001	2585
samp_4444_metabat2_171_contig_181_terpene.region001	2585
samp_4446_VAMB_171_contig_132_terpene.region001	2585
samp_4448_metabat2_83_contig_176_terpene.region001	2585
samp_4434_metabat2_58_contig_508_T1PKS.region001	2595
samp_4434_semibin_67_contig_168_terpene.region001	2601
samp_4434_semibin_67_contig_175_terpene.region001	2602
samp_4435_VAMB_805_contig_137_terpene.region001	2609
samp_4444_semibin_481_contig_179_terpene.region001	2609
samp_4445_metabat2_59_contig_300_terpene.region001	2609
samp_4447_metabat2_80_contig_110_terpene.region001	2609
samp_4435_concoct_1904_contig_173_terpene.region001	2614
samp_4435_maxbin_422_contig_157_terpene.region001	2625
samp_4435_maxbin_422_contig_364_terpene.region001	2629
samp_4435_maxbin_440_contig_634_terpene.region001	2642
samp_4443_VAMB_1051_contig_58_terpene.region001	2642
samp_4444_metadecoder_351_contig_152_terpene.region001	2642
samp_4444_semibin_496_contig_283_terpene.region001	2642
samp_4445_VAMB_1115_contig_244_terpene.region001	2642
samp_4445_maxbin_504_contig_64_terpene.region001	2642
samp_4445_metabat2_158_contig_419_terpene.region001	2642
samp_4445_metabat2_36_contig_20_terpene.region001	2642
samp_4445_metabat2_46_contig_482_terpene.region001	2642
samp_4443_metabat2_120_contig_110_terpene.region001	2652
samp_4443_semibin_319_contig_86_terpene.region001	2665
samp_4310_metabat2_90_contig_134_terpene.region001	2668
samp_4313_concoct_735_contig_94_terpene.region001	2668
samp_4331_metabat2_120_contig_60_terpene.region001	2668
samp_4435_VAMB_805_contig_126_terpene.region001	2668
samp_4443_concoct_2141_contig_81_terpene.region001	2668
samp_4443_semibin_379_contig_6_terpene.region001	2668
samp_4443_semibin_400_contig_169_terpene.region001	2668
samp_4444_semibin_482_contig_216_terpene.region001	2668
samp_4444_semibin_500_contig_4_terpene.region001	2668
samp_4435_maxbin_440_contig_357_terpene.region001	2671
samp_4443_semibin_480_contig_163_terpene.region001	2671
samp_4444_semibin_482_contig_165_terpene.region001	2671
samp_4445_maxbin_221_contig_370_terpene.region001	2671
samp_4445_metabat2_158_contig_342_terpene.region001	2671
samp_4444_maxbin_831_contig_286_terpene.region001	2674
samp_4332_VAMB_1153_contig_44_terpene.region001	2675
samp_4443_metabat2_120_contig_75_terpene.region001	2675
samp_4444_maxbin_831_contig_107_terpene.region001	2675
samp_4444_metabat2_114_contig_228_terpene.region001	2675
samp_4448_VAMB_889_contig_147_terpene.region001	2675
samp_4444_metabat2_185_contig_418_terpene.region001	2681
samp_4444_metabat2_75_contig_469_terpene.region001	2684
samp_4444_metabat2_78_contig_113_terpene.region001	2687
samp_4444_metabat2_78_contig_58_terpene.region001	2688
samp_4445_VAMB_590_contig_249_terpene.region001	2705
samp_4445_VAMB_590_contig_323_terpene.region001	2706
samp_4445_concoct_1447_contig_111_terpene.region001	2712
samp_4445_concoct_1447_contig_277_terpene.region001	2713
samp_4443_semibin_466_contig_149_terpene.region001	2717
samp_4444_metabat2_168_contig_614_terpene.region001	2717
samp_4445_concoct_1532_contig_132_terpene.region001	2717
samp_4445_metabat2_36_contig_61_terpene.region001	2730
samp_4445_metabat2_46_contig_72_terpene.region001	2733
samp_4445_semibin_342_contig_154_terpene.region001	2735
samp_4445_semibin_342_contig_168_terpene.region001	2736
samp_4445_semibin_366_contig_76_terpene.region001	2739
samp_4445_semibin_421_contig_292_terpene.region001	2749
samp_4443_maxbin_277_contig_38_terpene.region001	2753
samp_4446_VAMB_96_contig_306_terpene.region001	2753
samp_4446_VAMB_97_contig_192_cyanobactin.region001	2755
samp_4447_VAMB_322_contig_31_terpene.region001	2764
samp_4447_VAMB_322_contig_532_terpene.region001	2765
samp_4447_VAMB_472_contig_346_terpene.region001	2770
samp_4447_concoct_1018_contig_976_terpene.region001	2780
samp_4448_VAMB_839_contig_142_terpene.region001	2787
samp_4448_VAMB_839_contig_1804_terpene.region001	2788
samp_4445_semibin_379_contig_677_terpene.region001	2797
samp_4448_concoct_1792_contig_692_terpene.region001	2797
