#BGC Name	Family Number
BGC0001016	958
BGC0001017	958
BGC0001667	958
BGC0001705	958
BGC0002297	958
samp_4317_maxbin_26_contig_177_NRPS.region001	958
samp_4319_VAMB_955_contig_178_NRPS.region001	958
samp_4447_concoct_1018_contig_313_T1PKS.region001	958
BGC0002480	2264
samp_4443_semibin_319_contig_369_T1PKS.region001	2264
samp_4317_maxbin_26_contig_563_NRPS-like.region001	2540
samp_4320_metadecoder_628_contig_90_NRPS-like.region001	2540
samp_4321_concoct_295_contig_143_NRPS-like.region001	2540
samp_4319_VAMB_955_contig_842_T1PKS.region001	2546
samp_4321_concoct_295_contig_230_T1PKS.region001	2546
samp_4435_concoct_1904_contig_1012_NRPS-like.region001	2546
samp_4434_semibin_67_contig_183_T1PKS.region001	2603
samp_4435_concoct_1904_contig_899_T1PKS.region001	2622
samp_4443_metadecoder_774_contig_17_T1PKS.region001	2658
samp_4444_semibin_567_contig_259_T1PKS.region001	2696
samp_4445_concoct_1532_contig_461_T1PKS.region001	2718
samp_4445_metabat2_158_contig_347_T1PKS.region001	2726
samp_4445_semibin_342_contig_369_T1PKS.region001	2737
samp_4446_VAMB_97_contig_859_NRPS-like.region001	2757
