#BGC Name	Family Number
BGC0001015	958
BGC0001016	958
BGC0001017	958
BGC0001667	958
BGC0002297	958
samp_4317_maxbin_26_contig_177_NRPS.region001	958
samp_4319_VAMB_955_contig_178_NRPS.region001	958
samp_4447_concoct_1018_contig_313_T1PKS.region001	958
BGC0002480	2264
samp_4443_semibin_319_contig_369_T1PKS.region001	2264
samp_4319_VAMB_955_contig_421_NRPS.region001	2527
samp_4317_maxbin_26_contig_563_NRPS-like.region001	2540
samp_4320_metadecoder_628_contig_90_NRPS-like.region001	2540
samp_4321_concoct_295_contig_143_NRPS-like.region001	2540
samp_4320_metadecoder_702_contig_55_NRPS-like.region001	2542
samp_4319_VAMB_955_contig_842_T1PKS.region001	2546
samp_4321_concoct_295_contig_230_T1PKS.region001	2546
samp_4435_concoct_1904_contig_1012_NRPS-like.region001	2546
samp_4312_concoct_454_contig_249_NRPS-like.region001	2557
samp_4322_concoct_184_contig_336_NRPS-like.region001	2557
samp_4323_semibin_61_contig_74_NRPS-like.region001	2557
samp_4324_maxbin_53_contig_388_NRPS-like.region001	2557
samp_4325_concoct_153_contig_28_NRPS-like.region001	2557
samp_4434_VAMB_405_contig_1043_NRPS-like.region001	2557
samp_4444_semibin_569_contig_375_NRPS-like.region001	2557
samp_4446_metadecoder_636_contig_120_NRPS-like.region001	2557
samp_4317_concoct_68_contig_312_NRPS.region001	2558
samp_4321_metadecoder_473_contig_307_NRPS.region001	2558
samp_4322_concoct_184_contig_432_NRPS.region001	2558
samp_4324_maxbin_53_contig_182_NRPS.region001	2558
samp_4322_metabat2_24_contig_109_NRPS-like.region001	2560
samp_4311_concoct_412_contig_530_NRPS-like.region001	2591
samp_4317_concoct_68_contig_195_NRPS-like.region001	2591
samp_4320_metadecoder_702_contig_50_terpene.region001	2591
samp_4322_concoct_184_contig_1_NRPS-like.region001	2591
samp_4323_semibin_61_contig_81_NRPS-like.region001	2591
samp_4434_VAMB_405_contig_2570_NRPS-like.region001	2591
samp_4441_maxbin_669_contig_134_NRPS-like.region001	2591
samp_4443_VAMB_823_contig_1189_NRPS-like.region001	2591
samp_4448_metadecoder_579_contig_113_NRPS-like.region001	2591
samp_4434_metabat2_58_contig_120_NRPS-like.region001	2592
samp_4434_metabat2_58_contig_186_NRPS-like.region001	2593
samp_4434_metabat2_58_contig_297_NRPS.region001	2594
samp_4434_metabat2_58_contig_530_NRPS-like.region001	2597
samp_4434_semibin_67_contig_123_NRPS.region001	2600
samp_4434_semibin_67_contig_183_T1PKS.region001	2603
samp_4435_concoct_1904_contig_1418_NRPS.region001	2613
samp_4435_concoct_1904_contig_197_NRPS.region001	2615
samp_4435_concoct_1904_contig_2230_NRPS.region001	2617
samp_4435_concoct_1904_contig_899_T1PKS.region001	2622
samp_4435_maxbin_422_contig_111_NRPS-like.region001	2624
samp_4434_semibin_67_contig_203_NRPS-like.region001	2626
samp_4435_maxbin_422_contig_182_NRPS-like.region001	2626
samp_4435_maxbin_422_contig_336_NRPS.region001	2628
samp_4435_maxbin_440_contig_738_NRPS.region001	2632
samp_4435_semibin_217_contig_325_NRPS-like.region001	2634
samp_4435_semibin_217_contig_357_NRPS-like.region001	2635
samp_4443_VAMB_834_contig_1087_NRPS.region001	2644
samp_4443_maxbin_242_contig_585_NRPS-like.region001	2648
samp_4443_metadecoder_774_contig_17_T1PKS.region001	2658
samp_4443_semibin_379_contig_293_NRPS-like.region001	2666
samp_4444_semibin_567_contig_259_T1PKS.region001	2696
samp_4445_VAMB_917_contig_2786_NRPS.region001	2707
samp_4320_semibin_145_contig_392_NRPS.region001	2708
samp_4445_VAMB_917_contig_7332_NRPS.region001	2708
samp_4445_concoct_1415_contig_72_NRPS.region001	2709
samp_4445_concoct_1415_contig_907_NRPS-like.region001	2710
samp_4445_concoct_1447_contig_373_NRPS-like.region001	2714
samp_4445_concoct_1532_contig_113_NRPS.region001	2716
samp_4445_concoct_1532_contig_461_T1PKS.region001	2718
samp_4445_maxbin_221_contig_353_NRPS-like.region001	2719
samp_4445_metabat2_158_contig_347_T1PKS.region001	2726
samp_4445_semibin_342_contig_369_T1PKS.region001	2737
samp_4445_semibin_421_contig_112_T1PKS.region001	2744
samp_4446_VAMB_97_contig_859_NRPS-like.region001	2757
samp_4447_VAMB_472_contig_184_lanthipeptide-class-ii.region001	2768
samp_4447_VAMB_472_contig_513_NRPS-like.region001	2772
samp_4447_concoct_1018_contig_1849_NRPS.region001	2776
samp_4447_concoct_1018_contig_252_NRPS.region001	2777
samp_4447_concoct_1018_contig_5_NRPS.region001	2779
samp_4447_maxbin_94_contig_134_NRPS-like.region001	2782
samp_4448_VAMB_839_contig_698_NRPS.region001	2794
samp_4448_concoct_1792_contig_649_NRPS-like.region001	2796
