#BGC Name	Family Number
samp_4320_metadecoder_702_contig_50_terpene.region001	2541
samp_4320_semibin_145_contig_392_NRPS.region001	2543
samp_4315_VAMB_280_contig_117_PUFA.region001	2574
samp_4319_VAMB_955_contig_274_PUFA.region001	2574
samp_4324_maxbin_57_contig_260_PUFA.region001	2574
samp_4434_metabat2_58_contig_297_NRPS.region001	2594
samp_4434_metabat2_58_contig_508_T1PKS.region001	2595
samp_4445_concoct_1415_contig_72_NRPS.region001	2709
samp_4445_concoct_1447_contig_530_arylpolyene.region001	2715
samp_4445_semibin_379_contig_282_T1PKS.region001	2740
samp_4445_semibin_421_contig_112_T1PKS.region001	2744
samp_4446_VAMB_96_contig_914_arylpolyene.region001	2754
samp_4446_VAMB_97_contig_192_cyanobactin.region001	2755
samp_4446_VAMB_97_contig_68_ectoine.region001	2756
samp_4447_VAMB_472_contig_184_lanthipeptide-class-ii.region001	2768
samp_4448_VAMB_839_contig_142_terpene.region001	2787
samp_4448_VAMB_839_contig_2328_mycosporine-like.region001	2789
