#BGC Name	Family Number
BGC0001016	958
BGC0001017	958
BGC0001667	958
BGC0001705	958
BGC0002297	958
samp_4317_maxbin_26_contig_177_NRPS.region001	958
samp_4319_VAMB_955_contig_178_NRPS.region001	958
samp_4447_concoct_1018_contig_313_T1PKS.region001	958
samp_4317_maxbin_26_contig_563_NRPS-like.region001	2540
samp_4320_metadecoder_628_contig_90_NRPS-like.region001	2540
samp_4321_concoct_295_contig_143_NRPS-like.region001	2540
samp_4319_VAMB_955_contig_842_T1PKS.region001	2546
samp_4321_concoct_295_contig_230_T1PKS.region001	2546
samp_4435_concoct_1904_contig_1012_NRPS-like.region001	2546
samp_4315_VAMB_280_contig_117_PUFA.region001	2574
samp_4319_VAMB_955_contig_274_PUFA.region001	2574
samp_4324_maxbin_57_contig_260_PUFA.region001	2574
samp_4312_concoct_454_contig_57_hglE-KS.region001	2579
samp_4317_concoct_68_contig_274_hglE-KS.region001	2579
samp_4325_concoct_153_contig_525_hglE-KS.region001	2579
samp_4441_maxbin_669_contig_29_hglE-KS.region001	2579
samp_4446_metadecoder_636_contig_129_hglE-KS.region001	2579
samp_4434_metabat2_58_contig_50_T3PKS.region001	2596
samp_4434_semibin_67_contig_183_T1PKS.region001	2603
samp_4435_concoct_1904_contig_899_T1PKS.region001	2622
samp_4443_metadecoder_774_contig_17_T1PKS.region001	2658
samp_4443_semibin_319_contig_369_T1PKS.region001	2662
samp_4443_semibin_466_contig_286_T3PKS.region001	2670
samp_4443_semibin_480_contig_250_hglE-KS.region001	2672
samp_4444_semibin_567_contig_259_T1PKS.region001	2696
samp_4445_VAMB_546_contig_53_T3PKS.region001	2704
samp_4445_concoct_1532_contig_461_T1PKS.region001	2718
samp_4445_metabat2_158_contig_347_T1PKS.region001	2726
samp_4445_semibin_342_contig_369_T1PKS.region001	2737
samp_4445_semibin_379_contig_282_T1PKS.region001	2740
BGC0000869	2746
samp_4443_semibin_319_contig_514_hglE-KS.region001	2746
samp_4445_semibin_421_contig_253_hglE-KS.region001	2746
samp_4448_VAMB_839_contig_2366_hglE-KS.region001	2746
samp_4446_VAMB_97_contig_859_NRPS-like.region001	2757
samp_4447_VAMB_472_contig_107_hglE-KS.region001	2767
samp_4447_VAMB_472_contig_481_hglE-KS.region001	2771
samp_4307_semibin_116_contig_302_hglE-KS.region001	2783
samp_4324_maxbin_53_contig_124_hglE-KS.region001	2783
samp_4324_maxbin_53_contig_213_T1PKS.region001	2783
samp_4447_metabat2_48_contig_115_hglE-KS.region001	2783
samp_4443_semibin_319_contig_133_hglE-KS.region001	2792
samp_4448_VAMB_839_contig_499_hglE-KS.region001	2792
samp_4449_metabat2_97_contig_255_hglE-KS.region001	2801
