#BGC Name	Family Number
samp_4308_VAMB_457_contig_88_T1PKS.region001	2499
samp_4448_metadecoder_579_contig_38_T1PKS.region001	2499
samp_4449_metabat2_97_contig_277_T1PKS.region001	2499
samp_4313_maxbin_367_contig_143_T1PKS.region001	2507
samp_4317_maxbin_26_contig_199_T1PKS.region001	2518
samp_4320_metadecoder_628_contig_317_T1PKS.region001	2538
samp_4434_metabat2_58_contig_545_T1PKS.region001	2538
samp_4434_metabat2_58_contig_508_T1PKS.region001	2595
samp_4435_VAMB_805_contig_117_T1PKS.region001	2607
samp_4435_concoct_1904_contig_1274_T1PKS.region001	2611
samp_4443_metabat2_135_contig_520_T1PKS.region001	2656
samp_4444_metabat2_185_contig_246_T1PKS.region001	2680
samp_4445_metabat2_158_contig_286_T1PKS.region001	2723
samp_4445_semibin_379_contig_282_T1PKS.region001	2740
samp_4445_semibin_379_contig_755_T1PKS.region001	2743
samp_4445_semibin_421_contig_112_T1PKS.region001	2744
samp_4447_VAMB_472_contig_5_T1PKS.region001	2773
samp_4317_maxbin_26_contig_612_T1PKS.region001	2775
samp_4319_VAMB_955_contig_507_T1PKS.region001	2775
samp_4322_metabat2_24_contig_185_T1PKS.region001	2775
samp_4447_concoct_1018_contig_1216_T1PKS.region001	2775
